"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"Semi-finals",15,"1938-06-16","Hungary",5,1,"Sweden","Parc des Princes, Paris",1938,"France"
"Semi-finals",16,"1938-06-16","Italy",2,1,"Brazil","Stade Vélodrome, Marseille",1938,"France"
"Match-for-third-place",17,"1938-06-19","Sweden",2,4,"Brazil","Parc Lescure, Bordeaux",1938,"France"
"Final",18,"1938-06-19","Hungary",2,4,"Italy","Stade Olympique de Colombes, Paris",1938,"France"
"1",1,"1950-06-24","Brazil",4,0,"Mexico","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"1",5,"1950-06-25","Yugoslavia",3,0,"Switzerland","Estádio Independência, Belo Horizonte",1950,"Brazil"
"1",6,"1950-06-28","Brazil",2,2,"Switzerland","Estádio do Pacaembu, São Paulo",1950,"Brazil"
"1",7,"1950-06-28","Yugoslavia",4,1,"Mexico","Estádio dos Eucaliptos, Porto Alegre",1950,"Brazil"
"1",11,"1950-07-01","Brazil",2,0,"Yugoslavia","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"1",14,"1950-07-02","Switzerland",2,1,"Mexico","Estádio dos Eucaliptos, Porto Alegre",1950,"Brazil"
"2",2,"1950-06-25","England",2,0,"Chile","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"2",3,"1950-06-25","Spain",3,1,"United_States","Estádio Durival de Britto, Curitiba",1950,"Brazil"
"2",8,"1950-06-29","Spain",2,0,"Chile","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"2",10,"1950-06-29","United_States",1,0,"England","Estádio Independência, Belo Horizonte",1950,"Brazil"
"2",12,"1950-07-02","Spain",1,0,"England","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"2",15,"1950-07-02","Chile",5,2,"United_States","Estádio Ilha do Retiro, Recife",1950,"Brazil"
"3",4,"1950-06-25","Sweden",3,2,"Italy","Estádio do Pacaembu, São Paulo",1950,"Brazil"
"3",9,"1950-06-29","Sweden",2,2,"Paraguay","Estádio Durival Britto, Curitiba",1950,"Brazil"
"3",13,"1950-07-02","Italy",2,0,"Paraguay","Estádio do Pacaembu, São Paulo",1950,"Brazil"
"4",16,"1950-07-02","Uruguay",8,0,"Bolivia","Estádio Independência, Belo Horizonte",1950,"Brazil"
"Semi-finals",17,"1950-07-09","Uruguay",2,2,"Spain","Estádio do Pacaembu, São Paulo",1950,"Brazil"
"Semi-finals",18,"1950-07-09","Brazil",7,1,"Sweden","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"Semi-finals",19,"1950-07-13","Brazil",6,1,"Spain","Estádio do Maracanã, Rio de Janeiro",1950,"Brazil"
"Semi-finals",20,"1950-07-13","Uruguay",3,2,"Sweden","Estádio do Pacaembu, São Paulo",1950,"Brazil"
"Semi-finals",21,"1950-07-16","Sweden",3,1,"Spain","Estádio do Pacaembu, São Paulo",1950,"Brazil"
