"poule","game","date","team1","score1","score2","team2","venue","wk","host"
"4",8,"1974-06-15","Poland",3,2,"Argentina","Neckarstadion, Stuttgart",1974,"West_Germany"
"4",15,"1974-06-19","Haiti",0,7,"Poland","Olympiastadion, Munich",1974,"West_Germany"
"4",16,"1974-06-19","Argentina",1,1,"Italy","Neckarstadion, Stuttgart",1974,"West_Germany"
"4",23,"1974-06-23","Argentina",4,1,"Haiti","Olympiastadion, Munich",1974,"West_Germany"
"4",24,"1974-06-23","Poland",2,1,"Italy","Neckarstadion, Stuttgart",1974,"West_Germany"
"I",25,"1974-06-26","Brazil",1,0,"East_Germany","Niedersachsenstadion, Hanover",1974,"West_Germany"
"I",26,"1974-06-26","Netherlands",4,0,"Argentina","Parkstadion, Gelsenkirchen",1974,"West_Germany"
"I",29,"1974-06-30","East_Germany",0,2,"Netherlands","Parkstadion, Gelsenkirchen",1974,"West_Germany"
"I",30,"1974-06-30","Argentina",1,2,"Brazil","Niedersachsenstadion, Hanover",1974,"West_Germany"
"I",33,"1974-07-03","Argentina",1,1,"East_Germany","Parkstadion, Gelsenkirchen",1974,"West_Germany"
"I",34,"1974-07-03","Netherlands",2,0,"Brazil","Westfalenstadion, Dortmund",1974,"West_Germany"
"J",27,"1974-06-26","Yugoslavia",0,2,"West_Germany","Rheinstadion, Düsseldorf",1974,"West_Germany"
"J",28,"1974-06-26","Sweden",0,1,"Poland","Neckarstadion, Stuttgart",1974,"West_Germany"
"J",31,"1974-06-30","West_Germany",4,2,"Sweden","Rheinstadion, Düsseldorf",1974,"West_Germany"
"J",32,"1974-06-30","Poland",2,1,"Yugoslavia","Waldstadion, Frankfurt",1974,"West_Germany"
"J",35,"1974-07-03","Poland",0,1,"West_Germany","Waldstadion, Frankfurt",1974,"West_Germany"
"J",36,"1974-07-03","Sweden",2,1,"Yugoslavia","Rheinstadion, Düsseldorf",1974,"West_Germany"
"J",37,"1974-07-06","Brazil",0,1,"Poland","Olympiastadion, Munich",1974,"West_Germany"
"Final",38,"1974-07-07","Netherlands",1,2,"West_Germany","Olympiastadion, Munich",1974,"West_Germany"
"1",2,"1978-06-02","Argentina",2,1,"Hungary","Estadio Monumental, Buenos Aires",1978,"Argentina"
"1",3,"1978-06-02","Italy",2,1,"France","Estadio José María Minella, Mar del Plata",1978,"Argentina"
"1",9,"1978-06-06","Argentina",2,1,"France","Estadio Monumental, Buenos Aires",1978,"Argentina"
"1",10,"1978-06-06","Italy",3,1,"Hungary","Estadio José María Minella, Mar del Plata",1978,"Argentina"
"1",17,"1978-06-10","Argentina",0,1,"Italy","Estadio Monumental, Buenos Aires",1978,"Argentina"
"1",18,"1978-06-10","France",3,1,"Hungary","Estadio José María Minella, Mar del Plata",1978,"Argentina"
"2",1,"1978-06-01","West_Germany",0,0,"Poland","Estadio Monumental, Buenos Aires",1978,"Argentina"
"2",4,"1978-06-02","Tunisia",3,1,"Mexico","Estadio Gigante de Arroyito, Rosario",1978,"Argentina"
"2",11,"1978-06-06","Poland",1,0,"Tunisia","Estadio Gigante de Arroyito, Rosario",1978,"Argentina"
"2",12,"1978-06-06","West_Germany",6,0,"Mexico","Estadio Chateau Carreras, Córdoba",1978,"Argentina"
"2",19,"1978-06-10","Poland",3,1,"Mexico","Estadio Gigante de Arroyito, Rosario",1978,"Argentina"
"2",20,"1978-06-10","West_Germany",0,0,"Tunisia","Estadio Olímpico Chateau Carreras, Córdoba",1978,"Argentina"
"3",5,"1978-06-03","Austria",2,1,"Spain","Estadio José Amalfitani, Buenos Aires",1978,"Argentina"
"3",6,"1978-06-03","Brazil",1,1,"Sweden","Estadio José Maria Minella, Mar del Plata",1978,"Argentina"
"3",13,"1978-06-07","Austria",1,0,"Sweden","Estadio José Amalfitani, Buenos Aires",1978,"Argentina"
"3",14,"1978-06-07","Brazil",0,0,"Spain","Estadio José Maria Minella, Mar del Plata",1978,"Argentina"
"3",21,"1978-06-11","Spain",1,0,"Sweden","Estadio José Amalfitani, Buenos Aires",1978,"Argentina"
"3",22,"1978-06-11","Brazil",1,0,"Austria","Estadio José Maria Minella, Mar del Plata",1978,"Argentina"
"4",7,"1978-06-03","Peru",3,1,"Scotland","Estadio Chateau Carreras, Córdoba",1978,"Argentina"
"4",8,"1978-06-03","Netherlands",3,0,"Iran","Estadio Ciudad de Mendoza, Mendoza",1978,"Argentina"
"4",15,"1978-06-07","Scotland",1,1,"Iran","Estadio Chateau Carreras, Córdoba",1978,"Argentina"
"4",16,"1978-06-07","Netherlands",0,0,"Peru","Estadio Ciudad de Mendoza, Mendoza",1978,"Argentina"
"4",23,"1978-06-11","Peru",4,1,"Iran","Estadio Chateau Carreras, Córdoba",1978,"Argentina"
"4",24,"1978-06-11","Scotland",3,2,"Netherlands","Estadio Ciudad de Mendoza, Mendoza",1978,"Argentina"
"I",25,"1978-06-14","Italy",0,0,"West_Germany","Estadio Monumental, Buenos Aires",1978,"Argentina"
"I",27,"1978-06-14","Austria",1,5,"Netherlands","Estadio Chateau Carreras, Córdoba",1978,"Argentina"
"I",29,"1978-06-18","Italy",1,0,"Austria","Estadio Monumental, Buenos Aires",1978,"Argentina"
"I",31,"1978-06-18","Netherlands",2,2,"West_Germany","Estadio Chateau Carreras, Córdoba",1978,"Argentina"
"I",33,"1978-06-21","Italy",1,2,"Netherlands","Estadio Monumental, Buenos Aires",1978,"Argentina"
"I",35,"1978-06-21","Austria",3,2,"West_Germany","Estadio Chateau Carreras, Córdoba",1978,"Argentina"
"J",26,"1978-06-14","Argentina",2,0,"Poland","Estadio Gigante de Arroyito, Rosario",1978,"Argentina"
"J",28,"1978-06-14","Peru",0,3,"Brazil","Estadio Ciudad de Mendoza, Mendoza",1978,"Argentina"
"J",30,"1978-06-18","Argentina",0,0,"Brazil","Estadio Gigante de Arroyito, Rosario",1978,"Argentina"
"J",32,"1978-06-18","Peru",0,1,"Poland","Estadio Ciudad de Mendoza, Mendoza",1978,"Argentina"
"J",34,"1978-06-21","Argentina",6,0,"Peru","Estadio Gigante de Arroyito, Rosario",1978,"Argentina"
"J",36,"1978-06-21","Poland",1,3,"Brazil","Estadio Ciudad de Mendoza, Mendoza",1978,"Argentina"
"J",37,"1978-06-24","Brazil",2,1,"Italy","Estadio Monumental, Buenos Aires",1978,"Argentina"
"Final",38,"1978-06-25","Netherlands",1,3,"Argentina","Estadio Monumental, Buenos Aires",1978,"Argentina"
"1",2,"1982-06-14","Italy",0,0,"Poland","Balaídos, Vigo",1982,"Spain"
"1",4,"1982-06-15","Peru",0,0,"Cameroon","Estadio de Riazor, A Coruña",1982,"Spain"
"1",13,"1982-06-18","Italy",1,1,"Peru","Balaídos, Vigo",1982,"Spain"
"1",16,"1982-06-19","Poland",0,0,"Cameroon","Estadio de Riazor, A Coruña",1982,"Spain"
"1",25,"1982-06-22","Poland",5,1,"Peru","Estadio de Riazor, A Coruña",1982,"Spain"
"1",28,"1982-06-23","Italy",1,1,"Cameroon","Balaídos, Vigo",1982,"Spain"
"2",7,"1982-06-16","West_Germany",1,2,"Algeria","El Molinón, Gijón",1982,"Spain"
"2",10,"1982-06-17","Chile",0,1,"Austria","Estadio Carlos Tartiere, Oviedo",1982,"Spain"
"2",19,"1982-06-20","West_Germany",4,1,"Chile","El Molinón, Gijón",1982,"Spain"
"2",22,"1982-06-21","Algeria",0,2,"Austria","Estadio Carlos Tartiere, Oviedo",1982,"Spain"
"2",31,"1982-06-24","Algeria",3,2,"Chile","Estadio Carlos Tartiere, Oviedo",1982,"Spain"
"2",34,"1982-06-25","West_Germany",1,0,"Austria","El Molinón, Gijón",1982,"Spain"
"3",1,"1982-06-13","Argentina",0,1,"Belgium","Camp Nou, Barcelona",1982,"Spain"
"3",5,"1982-06-15","Hungary",10,1,"El_Salvador","Nuevo Estadio, Elche",1982,"Spain"
"3",14,"1982-06-18","Argentina",4,1,"Hungary","Estadio José Rico Pérez, Alicante",1982,"Spain"
"3",17,"1982-06-19","Belgium",1,0,"El_Salvador","Nuevo Estadio, Elche",1982,"Spain"
"3",26,"1982-06-22","Belgium",1,1,"Hungary","Nuevo Estadio, Elche",1982,"Spain"
"3",29,"1982-06-23","Argentina",2,0,"El_Salvador","Estadio José Rico Pérez, Alicante",1982,"Spain"
"4",8,"1982-06-16","England",3,1,"France","Estadio San Mamés, Bilbao",1982,"Spain"
"4",11,"1982-06-17","Czechoslovakia",1,1,"Kuwait","Estadio José Zorrilla, Valladolid",1982,"Spain"
"4",20,"1982-06-20","England",2,0,"Czechoslovakia","Estadio San Mamés, Bilbao",1982,"Spain"
"4",23,"1982-06-21","France",4,1,"Kuwait","Estadio José Zorrilla, Valladolid",1982,"Spain"
"4",32,"1982-06-24","France",1,1,"Czechoslovakia","Estadio José Zorrilla, Valladolid",1982,"Spain"
"4",35,"1982-06-25","England",1,0,"Kuwait","Estadio San Mamés, Bilbao",1982,"Spain"
"5",9,"1982-06-16","Spain",1,1,"Honduras","Estadio Luis Casanova, Valencia",1982,"Spain"
"5",12,"1982-06-17","Yugoslavia",0,0,"Northern_Ireland","La Romareda, Zaragoza",1982,"Spain"
"5",21,"1982-06-20","Spain",2,1,"Yugoslavia","Estadio Luis Casanova, Valencia",1982,"Spain"
"5",24,"1982-06-21","Honduras",1,1,"Northern_Ireland","La Romareda, Zaragoza",1982,"Spain"
"5",33,"1982-06-24","Honduras",0,1,"Yugoslavia","La Romareda, Zaragoza",1982,"Spain"
"5",36,"1982-06-25","Spain",0,1,"Northern_Ireland","Estadio Luis Casanova, Valencia",1982,"Spain"
"6",3,"1982-06-14","Brazil",2,1,"Soviet_Union","Estadio Ramón Sánchez Pizjuán, Seville",1982,"Spain"
"6",6,"1982-06-15","Scotland",5,2,"New_Zealand","Estadio La Rosaleda, Málaga",1982,"Spain"
"6",15,"1982-06-18","Brazil",4,1,"Scotland","Estadio Benito Villamarín, Seville",1982,"Spain"
"6",18,"1982-06-19","Soviet_Union",3,0,"New_Zealand","Estadio La Rosaleda, Málaga",1982,"Spain"
"6",27,"1982-06-22","Soviet_Union",2,2,"Scotland","Estadio La Rosaleda, Málaga",1982,"Spain"
"6",30,"1982-06-23","Brazil",4,0,"New_Zealand","Estadio Benito Villamarín, Seville",1982,"Spain"
"I",38,"1982-06-28","Poland",3,0,"Belgium","Camp Nou, Barcelona",1982,"Spain"
"I",42,"1982-07-01","Belgium",0,1,"Soviet_Union","Camp Nou, Barcelona",1982,"Spain"
"I",46,"1982-07-04","Soviet_Union",0,0,"Poland","Camp Nou, Barcelona",1982,"Spain"
"J",40,"1982-06-29","West_Germany",0,0,"England","Estadio Santiago Bernabéu, Madrid",1982,"Spain"
"J",44,"1982-07-02","West_Germany",2,1,"Spain","Estadio Santiago Bernabéu, Madrid",1982,"Spain"
"J",48,"1982-07-05","Spain",0,0,"England","Estadio Santiago Bernabéu, Madrid",1982,"Spain"
"K",39,"1982-06-29","Italy",2,1,"Argentina","Estadio Sarriá, Barcelona",1982,"Spain"
"K",43,"1982-07-02","Argentina",1,3,"Brazil","Estadio Sarriá, Barcelona",1982,"Spain"
"K",47,"1982-07-05","Italy",3,2,"Brazil","Estadio Sarriá, Barcelona",1982,"Spain"
"L",37,"1982-06-28","Austria",0,1,"France","Estadio Vicente Calderón, Madrid",1982,"Spain"
"L",41,"1982-07-01","Austria",2,2,"Northern_Ireland","Estadio Vicente Calderón, Madrid",1982,"Spain"
"L",45,"1982-07-04","Northern_Ireland",1,4,"France","Estadio Vicente Calderón, Madrid",1982,"Spain"
"Semi-finals",49,"1982-07-08","Poland",0,2,"Italy","Camp Nou, Barcelona",1982,"Spain"
"Semi-finals",50,"1982-07-08","West_Germany",5,4,"France","Estadio Ramón Sánchez Pizjuán, Seville",1982,"Spain"
"Semi-finals",51,"1982-07-10","Poland",3,2,"France","Estadio José Rico Pérez, Alicante",1982,"Spain"
"Final",52,"1982-07-11","Italy",3,1,"West_Germany","Estadio Santiago Bernabéu",1982,"Spain"
"A",1,"1986-05-31","Bulgaria",1,1,"Italy","Estadio Azteca, Mexico City",1986,"Mexico"
"A",4,"1986-06-02","Argentina",3,1,"South_Korea","Estadio Olímpico Universitario, Mexico City",1986,"Mexico"
"A",13,"1986-06-05","Italy",1,1,"Argentina","Estadio Cuauhtémoc, Puebla",1986,"Mexico"
"A",14,"1986-06-05","South_Korea",1,1,"Bulgaria","Estadio Olímpico Universitario, Mexico City",1986,"Mexico"
"A",27,"1986-06-10","South_Korea",2,3,"Italy","Estadio Cuauhtémoc, Puebla",1986,"Mexico"
"A",28,"1986-06-10","Argentina",2,0,"Bulgaria","Estadio Olímpico Universitario, Mexico City",1986,"Mexico"
"B",7,"1986-06-03","Belgium",1,2,"Mexico","Estadio Azteca, Mexico City",1986,"Mexico"
"B",10,"1986-06-04","Paraguay",1,0,"Iraq","Estadio Nemesio Díez, Toluca",1986,"Mexico"
"B",19,"1986-06-07","Mexico",1,1,"Paraguay","Estadio Azteca, Mexico City",1986,"Mexico"
"B",22,"1986-06-08","Iraq",1,2,"Belgium","Estadio Nemesio Díez, Toluca",1986,"Mexico"
"B",29,"1986-06-11","Iraq",0,1,"Mexico","Estadio Azteca, Mexico City",1986,"Mexico"
"B",30,"1986-06-11","Paraguay",2,2,"Belgium","Estadio Nemesio Díez, Toluca",1986,"Mexico"
"C",2,"1986-06-01","Canada",0,1,"France","Estadio Nou Camp, León",1986,"Mexico"
"C",5,"1986-06-02","Soviet_Union",6,0,"Hungary","Estadio Sergio León Chavez, Irapuato",1986,"Mexico"
"C",15,"1986-06-05","France",1,1,"Soviet_Union","Estadio Nou Camp, León",1986,"Mexico"
"C",16,"1986-06-06","Hungary",2,0,"Canada","Estadio Sergio León Chavez, Irapuato",1986,"Mexico"
"C",25,"1986-06-09","Hungary",0,3,"France","Estadio Nou Camp, León",1986,"Mexico"
"C",26,"1986-06-09","Soviet_Union",2,0,"Canada","Estadio Sergio León Chavez, Irapuato",1986,"Mexico"
"D",3,"1986-06-01","Spain",0,1,"Brazil","Estadio Jalisco, Guadalajara",1986,"Mexico"
"D",8,"1986-06-03","Algeria",1,1,"Northern_Ireland","Estadio Tres de Marzo, Guadalajara",1986,"Mexico"
"D",17,"1986-06-06","Brazil",1,0,"Algeria","Estadio Jalisco, Guadalajara",1986,"Mexico"
"D",20,"1986-06-07","Northern_Ireland",1,2,"Spain","Estadio Tres de Marzo, Guadalajara",1986,"Mexico"
"D",33,"1986-06-12","Northern_Ireland",0,3,"Brazil","Estadio Jalisco, Guadalajara",1986,"Mexico"
"D",34,"1986-06-12","Algeria",0,3,"Spain","Estadio Tecnológico, Monterrey",1986,"Mexico"
"E",11,"1986-06-04","Uruguay",1,1,"West_Germany","Estadio La Corregidora, Querétaro",1986,"Mexico"
"E",12,"1986-06-04","Scotland",0,1,"Denmark","Estadio Neza 86, Nezahualcóyotl",1986,"Mexico"
"E",23,"1986-06-08","West_Germany",2,1,"Scotland","Estadio La Corregidora, Querétaro",1986,"Mexico"
"E",24,"1986-06-08","Denmark",6,1,"Uruguay","Estadio Neza 86, Nezahualcóyotl",1986,"Mexico"
"E",35,"1986-06-13","Denmark",2,0,"West_Germany","Estadio La Corregidora, Querétaro",1986,"Mexico"
"E",36,"1986-06-13","Scotland",0,0,"Uruguay","Estadio Neza 86, Nezahualcóyotl",1986,"Mexico"
"F",6,"1986-06-02","Morocco",0,0,"Poland","Estadio Universitario, Monterrey",1986,"Mexico"
"F",9,"1986-06-03","Portugal",1,0,"England","Estadio Tecnológico, Monterrey",1986,"Mexico"
"F",18,"1986-06-06","England",0,0,"Morocco","Estadio Tecnológico, Monterrey",1986,"Mexico"
"F",21,"1986-06-07","Poland",1,0,"Portugal","Estadio Universitario, Monterrey",1986,"Mexico"
"F",31,"1986-06-11","Portugal",1,3,"Morocco","Estadio Tres de Marzo, Guadalajara",1986,"Mexico"
"F",32,"1986-06-11","England",3,0,"Poland","Estadio Tecnológico, Monterrey",1986,"Mexico"
"Round_of_16",37,"1986-06-15","Mexico",2,0,"Bulgaria","Estadio Azteca, Mexico City",1986,"Mexico"
"Round_of_16",38,"1986-06-15","Soviet_Union",3,4,"Belgium","Estadio Nou Camp, León",1986,"Mexico"
"Round_of_16",39,"1986-06-16","Argentina",1,0,"Uruguay","Estadio Cuauhtémoc, Puebla",1986,"Mexico"
"Round_of_16",40,"1986-06-16","Brazil",4,0,"Poland","Estadio Jalisco, Guadalajara",1986,"Mexico"
"Round_of_16",41,"1986-06-17","Italy",0,2,"France","Estadio Olímpico Universitario, Mexico City",1986,"Mexico"
"Round_of_16",42,"1986-06-17","Morocco",0,1,"West_Germany","Estadio Universitario, Monterrey",1986,"Mexico"
"Round_of_16",43,"1986-06-18","England",3,0,"Paraguay","Estadio Azteca, Mexico City",1986,"Mexico"
"Round_of_16",44,"1986-06-18","Denmark",1,5,"Spain","Estadio La Corregidora, Querétaro",1986,"Mexico"
"Quarter-finals",45,"1986-06-21","Brazil",3,4,"France","Estadio Jalisco, Guadalajara",1986,"Mexico"
"Quarter-finals",46,"1986-06-21","West_Germany",4,1,"Mexico","Estadio Universitario, Monterrey",1986,"Mexico"
"Quarter-finals",47,"1986-06-22","Spain",4,5,"Belgium","Estadio Cuauhtémoc, Puebla",1986,"Mexico"
"Quarter-finals",48,"1986-06-22","Argentina",2,1,"England","Estadio Azteca, Mexico City",1986,"Mexico"
"Semi-finals",49,"1986-06-25","Argentina",2,0,"Belgium","Estadio Azteca, Mexico City",1986,"Mexico"
"Semi-finals",50,"1986-06-25","France",0,2,"West_Germany","Estadio Jalisco, Guadalajara",1986,"Mexico"
"Semi-finals",51,"1986-06-28","France",4,2,"Belgium","Estadio Cuauhtémoc, Puebla",1986,"Mexico"
"Final",52,"1986-06-29","Argentina",3,2,"West_Germany","Estadio Azteca, Mexico City",1986,"Mexico"
"A",3,"1990-06-09","Italy",1,0,"Austria","Stadio Olimpico, Rome",1990,"Italy"
"A",5,"1990-06-10","United_States",1,5,"Czechoslovakia","Stadio Comunale, Florence",1990,"Italy"
"A",15,"1990-06-14","Italy",1,0,"United_States","Stadio Olimpico, Rome",1990,"Italy"
"A",17,"1990-06-15","Austria",0,1,"Czechoslovakia","Stadio Comunale, Florence",1990,"Italy"
"A",29,"1990-06-19","Italy",2,0,"Czechoslovakia","Stadio Olimpico, Rome",1990,"Italy"
"A",30,"1990-06-19","Austria",2,1,"United_States","Stadio Comunale, Florence",1990,"Italy"
"B",1,"1990-06-08","Argentina",0,1,"Cameroon","San Siro, Milan",1990,"Italy"
"B",2,"1990-06-09","Soviet_Union",0,2,"Romania","Stadio San Nicola, Bari",1990,"Italy"
"B",13,"1990-06-13","Argentina",2,0,"Soviet_Union","Stadio San Paolo, Naples",1990,"Italy"
"B",16,"1990-06-14","Cameroon",2,1,"Romania","Stadio San Nicola, Bari",1990,"Italy"
"B",25,"1990-06-18","Argentina",1,1,"Romania","Stadio San Paolo, Naples",1990,"Italy"
"B",26,"1990-06-18","Cameroon",0,4,"Soviet_Union","Stadio San Nicola, Bari",1990,"Italy"
"C",6,"1990-06-10","Brazil",2,1,"Sweden","Stadio Delle Alpi, Turin",1990,"Italy"
"C",8,"1990-06-11","Costa_Rica",1,0,"Scotland","Stadio Luigi Ferraris, Genoa",1990,"Italy"
"C",19,"1990-06-16","Brazil",1,0,"Costa_Rica","Stadio Delle Alpi, Turin",1990,"Italy"
"C",20,"1990-06-16","Sweden",1,2,"Scotland","Stadio Luigi Ferraris, Genoa",1990,"Italy"
"C",31,"1990-06-20","Brazil",1,0,"Scotland","Stadio Delle Alpi, Turin",1990,"Italy"
"C",32,"1990-06-20","Sweden",1,2,"Costa_Rica","Stadio Luigi Ferraris, Genoa",1990,"Italy"
"D",4,"1990-06-09","United_Arab_Emirates",0,2,"Colombia","Stadio Renato Dall'Ara, Bologna",1990,"Italy"
"D",7,"1990-06-10","West_Germany",4,1,"Yugoslavia","San Siro, Milan",1990,"Italy"
"D",14,"1990-06-14","Yugoslavia",1,0,"Colombia","Stadio Renato Dall'Ara, Bologna",1990,"Italy"
"D",18,"1990-06-15","West_Germany",5,1,"United_Arab_Emirates","San Siro, Milan",1990,"Italy"
"D",27,"1990-06-19","West_Germany",1,1,"Colombia","San Siro, Milan",1990,"Italy"
"D",28,"1990-06-19","Yugoslavia",4,1,"United_Arab_Emirates","Stadio Renato Dall'Ara, Bologna",1990,"Italy"
"E",10,"1990-06-12","Belgium",2,0,"South_Korea","Stadio Marc'Antonio Bentegodi, Verona",1990,"Italy"
"E",12,"1990-06-13","Uruguay",0,0,"Spain","Stadio Friuli, Udine",1990,"Italy"
"E",23,"1990-06-17","Belgium",3,1,"Uruguay","Stadio Marc'Antonio Bentegodi, Verona",1990,"Italy"
"E",24,"1990-06-17","South_Korea",1,3,"Spain","Stadio Friuli, Udine",1990,"Italy"
"E",33,"1990-06-21","Belgium",1,2,"Spain","Stadio Marc'Antonio Bentegodi, Verona",1990,"Italy"
"E",34,"1990-06-21","South_Korea",0,1,"Uruguay","Stadio Friuli, Udine",1990,"Italy"
"F",9,"1990-06-11","England",1,1,"Ireland","Stadio Sant'Elia, Cagliari",1990,"Italy"
"F",11,"1990-06-12","Netherlands",1,1,"Egypt","Stadio La Favorita, Palermo",1990,"Italy"
"F",21,"1990-06-16","England",0,0,"Netherlands","Stadio Sant'Elia, Cagliari",1990,"Italy"
"F",22,"1990-06-17","Ireland",0,0,"Egypt","Stadio La Favorita, Palermo",1990,"Italy"
"F",35,"1990-06-21","England",1,0,"Egypt","Stadio Sant'Elia, Cagliari",1990,"Italy"
"F",36,"1990-06-21","Ireland",1,1,"Netherlands","Stadio La Favorita, Palermo",1990,"Italy"
"Round_of_16",37,"1990-06-23","Cameroon",2,1,"Colombia","Stadio San Paolo, Naples",1990,"Italy"
"Round_of_16",38,"1990-06-23","Czechoslovakia",4,1,"Costa_Rica","Stadio San Nicola, Bari",1990,"Italy"
"Round_of_16",39,"1990-06-24","Brazil",0,1,"Argentina","Stadio Delle Alpi, Turin",1990,"Italy"
"Round_of_16",40,"1990-06-24","West_Germany",2,1,"Netherlands","San Siro, Milan",1990,"Italy"
"Round_of_16",41,"1990-06-25","Ireland",5,4,"Romania","Stadio Luigi Ferraris, Genoa",1990,"Italy"
"Round_of_16",42,"1990-06-25","Italy",2,0,"Uruguay","Stadio Olimpico, Rome",1990,"Italy"
"Round_of_16",43,"1990-06-26","Spain",1,2,"Yugoslavia","Stadio Marc'Antonio Bentegodi, Verona",1990,"Italy"
"Round_of_16",44,"1990-06-26","England",1,0,"Belgium","Stadio Renato Dall'Ara, Bologna",1990,"Italy"
"Quarter-finals",45,"1990-06-30","Yugoslavia",2,3,"Argentina","Stadio Artemio Franchi, Florence",1990,"Italy"
"Quarter-finals",46,"1990-06-30","Italy",1,0,"Ireland","Stadio Olimpico, Rome",1990,"Italy"
"Quarter-finals",47,"1990-07-01","West_Germany",1,0,"Czechoslovakia","San Siro, Milan",1990,"Italy"
"Quarter-finals",48,"1990-07-01","England",3,2,"Cameroon","Stadio San Paolo, Naples",1990,"Italy"
"Semi-finals",49,"1990-07-03","Italy",3,4,"Argentina","Stadio San Paolo, Naples",1990,"Italy"
"Semi-finals",50,"1990-07-04","West_Germany",4,3,"England","Stadio delle Alpi, Turin",1990,"Italy"
"Semi-finals",51,"1990-07-07","Italy",2,1,"England","Stadio San Nicola, Bari",1990,"Italy"
"Final",52,"1990-07-08","West_Germany",1,0,"Argentina","Stadio Olimpico, Rome",1990,"Italy"
"A",3,"1994-06-18","United_States",1,1,"Switzerland","Pontiac Silverdome, Pontiac",1994,"United_States"
"A",5,"1994-06-18","Colombia",1,3,"Romania","Rose Bowl, Pasadena",1994,"United_States"
"A",14,"1994-06-22","Romania",1,4,"Switzerland","Pontiac Silverdome, Pontiac",1994,"United_States"
"A",15,"1994-06-22","United_States",2,1,"Colombia","Rose Bowl, Pasadena",1994,"United_States"
"A",25,"1994-06-26","United_States",0,1,"Romania","Rose Bowl, Pasadena",1994,"United_States"
"A",26,"1994-06-26","Switzerland",0,2,"Colombia","Stanford Stadium, Stanford",1994,"United_States"
"B",8,"1994-06-19","Cameroon",2,2,"Sweden","Rose Bowl, Pasadena",1994,"United_States"
"B",9,"1994-06-20","Brazil",2,0,"Russia","Stanford Stadium, Stanford",1994,"United_States"
"B",19,"1994-06-24","Brazil",3,0,"Cameroon","Stanford Stadium, Stanford",1994,"United_States"
"B",20,"1994-06-24","Sweden",3,1,"Russia","Pontiac Silverdome, Pontiac",1994,"United_States"
"B",31,"1994-06-28","Russia",6,1,"Cameroon","Stanford Stadium, Stanford",1994,"United_States"
"B",32,"1994-06-28","Brazil",1,1,"Sweden","Pontiac Silverdome, Pontiac",1994,"United_States"
"C",1,"1994-06-17","Germany",1,0,"Bolivia","Soldier Field, Chicago",1994,"United_States"
"C",2,"1994-06-17","Spain",2,2,"South_Korea","Cotton Bowl, Dallas",1994,"United_States"
"C",12,"1994-06-21","Germany",1,1,"Spain","Soldier Field, Chicago",1994,"United_States"
"C",17,"1994-06-23","South_Korea",0,0,"Bolivia","Foxboro Stadium, Foxborough",1994,"United_States"
"C",27,"1994-06-27","Bolivia",1,3,"Spain","Soldier Field, Chicago",1994,"United_States"
"C",28,"1994-06-27","Germany",3,2,"South_Korea","Cotton Bowl, Dallas",1994,"United_States"
"D",11,"1994-06-21","Argentina",4,0,"Greece","Foxboro Stadium, Foxborough",1994,"United_States"
"D",13,"1994-06-21","Nigeria",3,0,"Bulgaria","Cotton Bowl, Dallas",1994,"United_States"
"D",23,"1994-06-25","Argentina",2,1,"Nigeria","Foxboro Stadium, Foxborough",1994,"United_States"
"D",24,"1994-06-26","Greece",0,4,"Bulgaria","Soldier Field, Chicago",1994,"United_States"
"D",35,"1994-06-30","Greece",0,2,"Nigeria","Foxboro Stadium, Foxborough",1994,"United_States"
"D",36,"1994-06-30","Argentina",0,2,"Bulgaria","Cotton Bowl, Dallas",1994,"United_States"
"E",4,"1994-06-18","Italy",0,1,"Ireland","Giants Stadium, East Rutherford",1994,"United_States"
"E",7,"1994-06-19","Norway",1,0,"Mexico","RFK Stadium, Washington",1994,"United_States"
"E",16,"1994-06-23","Italy",1,0,"Norway","Giants Stadium, East Rutherford",1994,"United_States"
"E",18,"1994-06-24","Mexico",2,1,"Ireland","Citrus Bowl, Orlando",1994,"United_States"
"E",29,"1994-06-28","Ireland",0,0,"Norway","Giants Stadium, East Rutherford",1994,"United_States"
"E",30,"1994-06-28","Italy",1,1,"Mexico","RFK Stadium, Washington",1994,"United_States"
"F",6,"1994-06-19","Belgium",1,0,"Morocco","Citrus Bowl, Orlando",1994,"United_States"
"F",10,"1994-06-20","Netherlands",2,1,"Saudi_Arabia","RFK Stadium, Washington",1994,"United_States"
"F",21,"1994-06-25","Belgium",1,0,"Netherlands","Citrus Bowl, Orlando",1994,"United_States"
"F",22,"1994-06-25","Saudi_Arabia",2,1,"Morocco","Giants Stadium, East Rutherford",1994,"United_States"
"F",33,"1994-06-29","Morocco",1,2,"Netherlands","Citrus Bowl, Orlando",1994,"United_States"
"F",34,"1994-06-29","Belgium",0,1,"Saudi_Arabia","RFK Stadium, Washington",1994,"United_States"
"Round_of_16",37,"1994-07-02","Germany",3,2,"Belgium","Soldier Field, Chicago",1994,"United_States"
"Round_of_16",38,"1994-07-02","Spain",3,0,"Switzerland","RFK Stadium, Washington",1994,"United_States"
"Round_of_16",39,"1994-07-03","Saudi_Arabia",1,3,"Sweden","Cotton Bowl, Dallas",1994,"United_States"
"Round_of_16",40,"1994-07-03","Romania",3,2,"Argentina","Rose Bowl, Pasadena",1994,"United_States"
"Round_of_16",41,"1994-07-04","Netherlands",2,0,"Ireland","Citrus Bowl, Orlando",1994,"United_States"
